transaction_id,product_name
T000001,Olpers Milk (Pack of 6)
T000001,Noodles
T000001,Nestle Water
T000001,Tapal Tea (250g)
T000001,Eggs
T000001,National Ketchup (1kg)
T000002,Dalda Cooking Oil (500ml)
T000002,Olpers Milk (Pack of 6)
T000002,Frozen Paratha
T000002,Jam
T000002,Bread
T000003,Butter
T000003,Thal Sugar (200ml)
T000003,Guard Rice (1kg)
T000004,Noodles
T000004,Guard Rice (1kg)
T000004,Eggs
T000004,Shan Biryani Masala
T000004,Pepsi 1L
T000005,Surf Excel
T000005,Guard Rice (1kg)
T000005,Butter
T000005,Eggs
T000005,Jam
T000006,Noodles
T000006,Chicken
T000006,Olpers Milk (Pack of 6)
T000006,Bread
T000007,Frozen Paratha
T000007,Thal Sugar (200ml)
T000007,Chicken
T000007,Dalda Cooking Oil (500ml)
T000007,Olpers Milk (Pack of 6)
T000008,Lays Chips
T000008,Noodles
T000009,Chicken
T000009,Butter
T000009,National Ketchup (1kg)
T000009,Biscuits
T000010,Lays Chips
T000010,Thal Sugar (200ml)
T000010,Pepsi 1L
T000010,National Ketchup (1kg)
T000011,Lux Soap
T000011,Frozen Paratha
T000011,Jam
T000012,Olpers Milk (Pack of 6)
T000012,Frozen Paratha
T000012,Lux Soap
T000013,Frozen Paratha
T000013,Thal Sugar (200ml)
T000013,Shan Biryani Masala
T000014,Tapal Tea (250g)
T000014,National Ketchup (1kg)
T000014,Lays Chips
T000014,Butter
T000014,Lux Soap
T000014,Bread
T000015,Bread
T000015,Jam
T000015,National Ketchup (1kg)
T000015,Biscuits
T000015,Surf Excel
T000016,Shan Biryani Masala
T000016,Butter
T000016,Eggs
T000016,Surf Excel
T000016,Jam
T000017,Frozen Paratha
T000017,Nestle Water
T000017,Tapal Tea (250g)
T000018,Lays Chips
T000018,Thal Sugar (200ml)
T000018,Eggs
T000018,Bread
T000018,Surf Excel
T000018,Noodles
T000019,Jam
T000019,Eggs
T000019,Butter
T000019,Shan Biryani Masala
T000019,Thal Sugar (200ml)
T000020,Chicken
T000020,Tapal Tea (250g)
T000020,Jam
T000020,Noodles
T000021,Guard Rice (1kg)
T000021,Butter
T000021,Lays Chips
T000021,Dalda Cooking Oil (500ml)
T000021,Frozen Paratha
T000021,Lux Soap
T000022,National Ketchup (1kg)
T000022,Thal Sugar (200ml)
T000022,Chicken
T000023,Biscuits
T000023,Surf Excel
T000023,Pepsi 1L
T000024,Chicken
T000024,Surf Excel
T000024,Biscuits
T000025,Shan Biryani Masala
T000025,Tapal Tea (250g)
T000025,Lux Soap
T000025,National Ketchup (1kg)
T000026,Chicken
T000026,Butter
T000026,Tapal Tea (250g)
T000026,Bread
T000026,Frozen Paratha
T000027,Chicken
T000027,Butter
T000028,Frozen Paratha
T000028,Pepsi 1L
T000028,Noodles
T000028,Chicken
T000029,Thal Sugar (200ml)
T000029,Jam
T000029,Surf Excel
T000029,Shan Biryani Masala
T000029,Nestle Water
T000030,Bread
T000030,Guard Rice (1kg)
T000030,Thal Sugar (200ml)
T000031,Lays Chips
T000031,Bread
T000031,National Ketchup (1kg)
T000031,Guard Rice (1kg)
T000031,Eggs
T000031,Surf Excel
T000032,Lays Chips
T000032,Shan Biryani Masala
T000033,Guard Rice (1kg)
T000033,Biscuits
T000033,Dalda Cooking Oil (500ml)
T000033,Tapal Tea (250g)
T000033,Chicken
T000033,Eggs
T000034,Dalda Cooking Oil (500ml)
T000034,National Ketchup (1kg)
T000035,Tapal Tea (250g)
T000035,Lays Chips
T000035,Biscuits
T000035,Chicken
T000035,National Ketchup (1kg)
T000036,Jam
T000036,Bread
T000037,Shan Biryani Masala
T000037,Bread
T000037,Lays Chips
T000037,Dalda Cooking Oil (500ml)
T000037,National Ketchup (1kg)
T000038,Thal Sugar (200ml)
T000038,Dalda Cooking Oil (500ml)
T000038,Surf Excel
T000038,Eggs
T000039,Biscuits
T000039,Shan Biryani Masala
T000039,National Ketchup (1kg)
T000040,Thal Sugar (200ml)
T000040,Bread
T000041,Jam
T000041,Shan Biryani Masala
T000041,Biscuits
T000041,National Ketchup (1kg)
T000041,Nestle Water
T000042,Frozen Paratha
T000042,Noodles
T000042,Jam
T000043,Pepsi 1L
T000043,Shan Biryani Masala
T000044,Lux Soap
T000044,Frozen Paratha
T000044,Bread
T000045,Lux Soap
T000045,National Ketchup (1kg)
T000045,Eggs
T000045,Tapal Tea (250g)
T000046,Eggs
T000046,Chicken
T000046,Noodles
T000046,Olpers Milk (Pack of 6)
T000046,Lays Chips
T000047,Guard Rice (1kg)
T000047,Eggs
T000047,Olpers Milk (Pack of 6)
T000047,Noodles
T000047,National Ketchup (1kg)
T000047,Jam
T000048,Guard Rice (1kg)
T000048,Shan Biryani Masala
T000049,Nestle Water
T000049,Bread
T000049,Lays Chips
T000049,Butter
T000049,Frozen Paratha
T000049,Olpers Milk (Pack of 6)
T000050,Butter
T000050,Olpers Milk (Pack of 6)
T000051,National Ketchup (1kg)
T000051,Olpers Milk (Pack of 6)
T000052,Olpers Milk (Pack of 6)
T000052,Lays Chips
T000053,National Ketchup (1kg)
T000053,Jam
T000054,Nestle Water
T000054,Frozen Paratha
T000055,Biscuits
T000055,Shan Biryani Masala
T000055,Noodles
T000055,Pepsi 1L
T000055,Olpers Milk (Pack of 6)
T000056,Lays Chips
T000056,Nestle Water
T000057,Eggs
T000057,Guard Rice (1kg)
T000057,Lays Chips
T000057,Pepsi 1L
T000057,Frozen Paratha
T000058,Pepsi 1L
T000058,Frozen Paratha
T000058,Noodles
T000058,National Ketchup (1kg)
T000058,Nestle Water
T000058,Chicken
T000059,Dalda Cooking Oil (500ml)
T000059,Biscuits
T000059,Shan Biryani Masala
T000059,Olpers Milk (Pack of 6)
T000060,Bread
T000060,Jam
T000060,Surf Excel
T000060,Tapal Tea (250g)
T000060,Noodles
T000060,Olpers Milk (Pack of 6)
T000061,Shan Biryani Masala
T000061,National Ketchup (1kg)
T000061,Jam
T000062,Surf Excel
T000062,Thal Sugar (200ml)
T000062,Pepsi 1L
T000062,Frozen Paratha
T000062,Lays Chips
T000063,Dalda Cooking Oil (500ml)
T000063,Nestle Water
T000063,Lux Soap
T000064,Noodles
T000064,Shan Biryani Masala
T000064,Tapal Tea (250g)
T000064,Olpers Milk (Pack of 6)
T000065,Surf Excel
T000065,Thal Sugar (200ml)
T000066,Noodles
T000066,Olpers Milk (Pack of 6)
T000066,Thal Sugar (200ml)
T000066,Butter
T000067,Thal Sugar (200ml)
T000067,Butter
T000067,Chicken
T000067,Biscuits
T000067,Frozen Paratha
T000067,Bread
T000068,Shan Biryani Masala
T000068,Surf Excel
T000069,Jam
T000069,Dalda Cooking Oil (500ml)
T000069,Guard Rice (1kg)
T000070,Tapal Tea (250g)
T000070,Dalda Cooking Oil (500ml)
T000070,Lays Chips
T000070,Shan Biryani Masala
T000070,Frozen Paratha
T000071,Biscuits
T000071,Chicken
T000071,Shan Biryani Masala
T000071,National Ketchup (1kg)
T000071,Dalda Cooking Oil (500ml)
T000072,Guard Rice (1kg)
T000072,Olpers Milk (Pack of 6)
T000073,Lux Soap
T000073,Chicken
T000073,Pepsi 1L
T000073,Biscuits
T000073,Tapal Tea (250g)
T000073,Thal Sugar (200ml)
T000074,Tapal Tea (250g)
T000074,National Ketchup (1kg)
T000074,Noodles
T000074,Biscuits
T000074,Lux Soap
T000074,Nestle Water
T000075,Shan Biryani Masala
T000075,Bread
T000075,Nestle Water
T000075,Pepsi 1L
T000076,Jam
T000076,Lays Chips
T000076,Noodles
T000077,Lays Chips
T000077,Nestle Water
T000077,Guard Rice (1kg)
T000077,Thal Sugar (200ml)
T000077,Dalda Cooking Oil (500ml)
T000078,Surf Excel
T000078,Noodles
T000078,National Ketchup (1kg)
T000079,Bread
T000079,Jam
T000079,Frozen Paratha
T000079,Eggs
T000080,Shan Biryani Masala
T000080,Thal Sugar (200ml)
T000081,Thal Sugar (200ml)
T000081,Frozen Paratha
T000081,Shan Biryani Masala
T000081,Pepsi 1L
T000081,Olpers Milk (Pack of 6)
T000081,Butter
T000082,Guard Rice (1kg)
T000082,Lux Soap
T000082,Frozen Paratha
T000082,Thal Sugar (200ml)
T000082,Tapal Tea (250g)
T000082,Lays Chips
T000083,Tapal Tea (250g)
T000083,Biscuits
T000083,Lux Soap
T000083,National Ketchup (1kg)
T000083,Pepsi 1L
T000084,Lays Chips
T000084,Surf Excel
T000084,Guard Rice (1kg)
T000084,Lux Soap
T000084,Biscuits
T000084,Thal Sugar (200ml)
T000085,Chicken
T000085,Tapal Tea (250g)
T000085,Noodles
T000085,Olpers Milk (Pack of 6)
T000086,National Ketchup (1kg)
T000086,Shan Biryani Masala
T000086,Bread
T000086,Frozen Paratha
T000087,Pepsi 1L
T000087,Butter
T000087,Lux Soap
T000087,Dalda Cooking Oil (500ml)
T000087,Surf Excel
T000088,Surf Excel
T000088,Frozen Paratha
T000088,Jam
T000088,Shan Biryani Masala
T000088,Guard Rice (1kg)
T000089,Nestle Water
T000089,National Ketchup (1kg)
T000089,Thal Sugar (200ml)
T000089,Frozen Paratha
T000089,Olpers Milk (Pack of 6)
T000089,Bread
T000090,Surf Excel
T000090,Butter
T000090,Guard Rice (1kg)
T000090,Nestle Water
T000091,Eggs
T000091,Olpers Milk (Pack of 6)
T000091,Biscuits
T000091,Lux Soap
T000091,Tapal Tea (250g)
T000091,Lays Chips
T000092,Pepsi 1L
T000092,Bread
T000092,Shan Biryani Masala
T000092,Chicken
T000092,Eggs
T000093,Bread
T000093,Chicken
T000093,Dalda Cooking Oil (500ml)
T000093,Butter
T000094,Eggs
T000094,Noodles
T000095,Lux Soap
T000095,Thal Sugar (200ml)
T000095,Lays Chips
T000095,Tapal Tea (250g)
T000095,Chicken
T000095,Eggs
T000096,Shan Biryani Masala
T000096,Noodles
T000096,Lux Soap
T000096,Bread
T000096,Butter
T000096,Dalda Cooking Oil (500ml)
T000097,Lux Soap
T000097,National Ketchup (1kg)
T000098,National Ketchup (1kg)
T000098,Biscuits
T000099,Lux Soap
T000099,Biscuits
T000099,Surf Excel
T000099,Bread
T000100,Olpers Milk (Pack of 6)
T000100,Tapal Tea (250g)
T000100,Thal Sugar (200ml)
T000100,Frozen Paratha
T000100,Dalda Cooking Oil (500ml)
T000100,Surf Excel
T000101,Pepsi 1L
T000101,Olpers Milk (Pack of 6)
T000101,Frozen Paratha
T000101,Lux Soap
T000101,Nestle Water
T000102,Chicken
T000102,Noodles
T000102,Shan Biryani Masala
T000102,Butter
T000103,Surf Excel
T000103,National Ketchup (1kg)
T000103,Jam
T000104,Noodles
T000104,Nestle Water
