transaction_id,product_name
T000001,Guard Rice (1kg)
T000002,National Ketchup (1kg)
T000003,Dalda Cooking Oil (500ml)
T000004,Thal Sugar (200ml)
T000005,Olpers Milk (Pack of 6)
T000006,Bake Parlour Cakes (250g)
T000007,Colgate Toothpaste (200ml)
T000008,Pantene Shampoo (Family Pack)
T000009,Shezan Juices (1kg)
T000010,Local Farm Vegetables (250g)
T000011,Pampers Diapers (500g)
T000012,Nurpur Butter (500ml)
T000013,Shezan Juices (1L)
T000014,Lipton Tea (250g)
T000015,Dalda Cooking Oil (Family Pack)
T000016,Bake Parlour Bread (500g)
T000017,National Spices (Family Pack)
T000018,Bake Parlour Bread (1L)
T000019,Nestle Yogurt (Pack of 6)
T000020,Adams Cheese (Family Pack)
T000021,Local Farm Fruits (500g)
T000022,Pantene Shampoo (Pack of 6)
T000023,Pampers Diapers (200ml)
T000024,Menu Frozen Nuggets (500g)
T000025,Sunridge Flour (Atta) (1L)
T000026,Pantene Shampoo (Family Pack)
T000027,Bake Parlour Cakes (500ml)
T000028,Colgate Toothpaste (200ml)
T000029,Lipton Tea (1L)
T000030,National Spices (Family Pack)
T000031,Vim Dishwash (500ml)
T000032,Nestle Juices (500ml)
T000033,Vim Dishwash (500ml)
T000034,Menu Frozen Nuggets (1L)
T000035,Bake Parlour Bread (Pack of 6)
T000036,Nestle Juices (1kg)
T000037,LU Biscuits (1kg)
T000038,Olpers Milk (Pack of 6)
T000039,LU Biscuits (Pack of 6)
T000040,Thal Sugar (200ml)
T000041,National Spices (500ml)
T000042,Menu Frozen Nuggets (Pack of 6)
T000043,Dalda Cooking Oil (500g)
T000044,Lipton Tea (500ml)
T000045,Colgate Toothpaste (200ml)
T000046,Sinar Notebooks (500ml)
T000047,Nurpur Butter (Family Pack)
T000048,Sinar Notebooks (Family Pack)
T000049,Shezan Juices (1kg)
T000050,Cadbury Chocolate (250g)
T000051,Thal Sugar (Family Pack)
T000052,Lays Chips (250g)
T000053,Vim Dishwash (Family Pack)
T000054,Walls Ice Cream (500ml)
T000055,Local Farm Vegetables (1kg)
T000056,Lipton Tea (1L)
T000057,Thal Sugar (200ml)
T000058,Menu Frozen Nuggets (500ml)
T000059,Sunridge Flour (Atta) (500ml)
T000060,Guard Rice (1L)
T000061,Pepsi Soft Drinks (1kg)
T000062,Bake Parlour Bread (Pack of 6)
T000063,Cadbury Chocolate (250g)
T000064,LU Biscuits (1kg)
T000065,Lipton Tea (500ml)
T000066,Guard Rice (1L)
T000067,Bake Parlour Bread (500g)
T000068,National Spices (500ml)
T000069,Sinar Notebooks (500ml)
T000070,Nurpur Butter (500g)
T000071,LU Biscuits (1kg)
T000072,Sinar Notebooks (1kg)
T000073,Nestle Yogurt (Pack of 6)
T000074,Local Farm Fruits (500ml)
T000075,Dalda Cooking Oil (Family Pack)
T000076,Nestle Yogurt (Pack of 6)
T000077,Sunridge Flour (Atta) (1L)
T000078,Sunridge Flour (Atta) (1L)
T000079,National Ketchup (Pack of 6)
T000080,Adams Cheese (1L)
T000081,Walls Ice Cream (1kg)
T000082,Surf Excel Detergent (500ml)
T000083,Lays Chips (500ml)
T000084,Menu Frozen Nuggets (500ml)
T000085,Pantene Shampoo (1L)
T000086,Coca-Cola Soft Drinks (Family Pack)
T000087,Nestle Yogurt (250g)
T000088,National Spices (250g)
T000089,Walls Ice Cream (200ml)
T000090,Adams Cheese (Pack of 6)
T000091,Bake Parlour Cakes (500ml)
T000092,LU Biscuits (1kg)
T000093,Local Farm Fruits (200ml)
T000094,Surf Excel Detergent (500ml)
T000095,LU Biscuits (Pack of 6)
T000096,Pantene Shampoo (200ml)
T000097,Cadbury Chocolate (Pack of 6)
T000098,Nestle Yogurt (Pack of 6)
T000099,Bake Parlour Bread (Pack of 6)
T000100,Nestle Yogurt (Pack of 6)
T000101,Bake Parlour Cakes (500ml)
T000102,Aquafina Water (1kg)
T000103,Local Farm Fruits (200ml)
T000104,LU Biscuits (Pack of 6)
T000105,Aquafina Water (Pack of 6)
T000106,Nestle Yogurt (250g)
T000107,Nestle Juices (250g)
T000108,Vim Dishwash (Family Pack)
T000109,Walls Ice Cream (Pack of 6)
T000110,Pepsi Soft Drinks (1kg)
T000111,Local Farm Fruits (500g)
T000112,Vim Dishwash (Family Pack)
