product_id,product_name,category,sub_category,brand,cost_price,selling_price
P001,Nestle Juices (250g),Beverages,Juices,Nestle,46.08,76.04
P002,Nestle Juices (1kg),Beverages,Juices,Nestle,42.91,78.35
P003,Nestle Juices (1kg),Beverages,Juices,Nestle,49.13,79.34
P004,Nestle Juices (250g),Beverages,Juices,Nestle,49.41,75.61
P005,Nestle Juices (500ml),Beverages,Juices,Nestle,46.38,85.73
P006,Shezan Juices (500ml),Beverages,Juices,Shezan,39.24,68.28
P007,Shezan Juices (Family Pack),Beverages,Juices,Shezan,36.45,63.13
P008,Shezan Juices (1L),Beverages,Juices,Shezan,36.66,74.83
P009,Shezan Juices (1kg),Beverages,Juices,Shezan,40.53,75.01
P010,Coca-Cola Soft Drinks (200ml),Beverages,Soft Drinks,Coca-Cola,47.3,91.82
P011,Coca-Cola Soft Drinks (Family Pack),Beverages,Soft Drinks,Coca-Cola,47.71,92.21
P012,Coca-Cola Soft Drinks (500g),Beverages,Soft Drinks,Coca-Cola,53.99,86.08
P013,Coca-Cola Soft Drinks (200ml),Beverages,Soft Drinks,Coca-Cola,46.79,90.96
P014,Pepsi Soft Drinks (250g),Beverages,Soft Drinks,Pepsi,48.84,86.14
P015,Pepsi Soft Drinks (Pack of 6),Beverages,Soft Drinks,Pepsi,52.12,78.71
P016,Pepsi Soft Drinks (250g),Beverages,Soft Drinks,Pepsi,48.64,87.73
P017,Pepsi Soft Drinks (1kg),Beverages,Soft Drinks,Pepsi,46.88,85.93
P018,Aquafina Water (1kg),Beverages,Water,Aquafina,18.21,34.56
P019,Aquafina Water (500ml),Beverages,Water,Aquafina,19.36,36.88
P020,Aquafina Water (Pack of 6),Beverages,Water,Aquafina,21.88,33.78
P021,Aquafina Water (500g),Beverages,Water,Aquafina,21.13,34.65
P022,Lipton Tea (1kg),Beverages,Tea,Lipton,85.9,136.51
P023,Lipton Tea (1L),Beverages,Tea,Lipton,88.05,144.5
P024,Lipton Tea (500ml),Beverages,Tea,Lipton,89.63,134.27
P025,Lipton Tea (250g),Beverages,Tea,Lipton,88.62,128.3
P026,Lipton Tea (1L),Beverages,Tea,Lipton,82.96,147.95
