transaction_id,customer_id,product_id,store_id,date_id,quantity,unit_price,total_amount,discount
T000001,C0223,P080,S001,D314,1,199.74,193.55,0.031
T000002,C0029,P106,S001,D167,2,120.92,199.76,0.174
T000003,C0380,P097,S001,D064,2,296.7,563.14,0.051
T000004,C0071,P090,S001,D105,1,115.87,102.43,0.116
T000005,C0488,P031,S001,D320,2,90.95,177.17,0.026
T000006,C0422,P062,S001,D300,3,297.36,787.71,0.117
T000007,C0065,P136,S001,D075,2,172.7,330.2,0.044
T000008,C0376,P124,S001,D263,1,358.75,321.44,0.104
T000009,C0016,P009,S001,D203,2,74.27,136.66,0.08
T000010,C0269,P166,S001,D174,2,26.8,48.24,0.1
T000011,C0296,P149,S001,D103,1,1202.94,1100.69,0.085
T000012,C0262,P038,S001,D320,4,167.35,612.5,0.085
T000013,C0291,P008,S001,D086,2,73.33,145.49,0.008
T000014,C0396,P025,S001,D183,1,125.24,105.58,0.157
T000015,C0371,P096,S001,D076,2,270.4,446.7,0.174
T000016,C0002,P051,S001,D157,3,79.99,229.65,0.043
T000017,C0126,P101,S001,D360,2,104.32,204.88,0.018
T000018,C0472,P049,S001,D143,1,88.99,78.76,0.115
T000019,C0440,P035,S001,D272,2,63.05,121.06,0.04
T000020,C0366,P042,S001,D154,2,215.69,397.3,0.079
T000021,C0165,P160,S001,D122,2,39.41,75.19,0.046
T000022,C0164,P128,S001,D222,2,332.63,628.67,0.055
T000023,C0191,P152,S001,D064,1,1189.77,1149.32,0.034
T000024,C0027,P114,S001,D007,1,162.57,156.07,0.04
T000025,C0024,P085,S001,D032,1,151.57,143.23,0.055
T000026,C0239,P126,S001,D126,1,360.66,346.59,0.039
T000027,C0160,P064,S001,D121,1,321.86,293.21,0.089
T000028,C0005,P134,S001,D303,1,145.34,143.16,0.015
T000029,C0402,P026,S001,D140,2,146.21,264.93,0.094
T000030,C0238,P101,S001,D011,2,106.39,170.86,0.197
T000031,C0396,P146,S001,D058,1,126.9,104.95,0.173
T000032,C0280,P005,S001,D318,1,87.07,76.19,0.125
T000033,C0004,P146,S001,D318,4,128.07,485.64,0.052
T000034,C0278,P111,S001,D097,2,156.06,278.1,0.109
T000035,C0450,P052,S001,D225,1,81.05,79.67,0.017
T000036,C0389,P002,S001,D292,1,79.09,70.47,0.109
T000037,C0373,P057,S001,D167,3,57.77,152.34,0.121
T000038,C0122,P027,S001,D248,2,91.69,147.44,0.196
T000039,C0498,P056,S001,D102,2,59.94,107.89,0.1
T000040,C0048,P090,S001,D348,3,111.36,330.07,0.012
T000041,C0433,P102,S001,D054,2,110.01,212.32,0.035
T000042,C0191,P113,S001,D078,4,172.2,663.31,0.037
T000043,C0298,P095,S001,D336,2,290.22,576.38,0.007
T000044,C0420,P024,S001,D028,4,133.42,517.67,0.03
T000045,C0032,P134,S001,D014,3,145.92,416.75,0.048
T000046,C0122,P154,S001,D112,2,91.96,149.89,0.185
T000047,C0475,P039,S001,D138,2,148.19,286.01,0.035
T000048,C0377,P153,S001,D185,2,79.76,146.44,0.082
T000049,C0120,P009,S001,D281,2,73.1,136.84,0.064
