date_id,date,day,day_name,month,month_name,quarter,year,is_weekend,is_holiday,holiday_name
D001,1/1/2023,1,Sunday,1,January,1,2023,1,0,
D002,1/2/2023,2,Monday,1,January,1,2023,0,0,
D003,1/3/2023,3,Tuesday,1,January,1,2023,0,0,
D004,1/4/2023,4,Wednesday,1,January,1,2023,0,0,
D005,1/5/2023,5,Thursday,1,January,1,2023,0,0,
D006,1/6/2023,6,Friday,1,January,1,2023,1,0,
D007,1/7/2023,7,Saturday,1,January,1,2023,1,0,
D008,1/8/2023,8,Sunday,1,January,1,2023,1,0,
D009,1/9/2023,9,Monday,1,January,1,2023,0,0,
D010,,10,Tuesday,1,January,1,2023,0,0,
D011,,11,Wednesday,1,January,1,2023,0,0,
D012,,12,Thursday,1,January,1,2023,0,0,
D013,,13,Friday,1,January,1,2023,1,0,
D014,,14,Saturday,1,January,1,2023,1,0,
D015,,15,Sunday,1,January,1,2023,1,0,
D016,,16,Monday,1,January,1,2023,0,0,
D017,,17,Tuesday,1,January,1,2023,0,0,
D018,,18,Wednesday,1,January,1,2023,0,0,
D019,,19,Thursday,1,January,1,2023,0,0,
D020,,20,Friday,1,January,1,2023,1,0,
D021,,21,Saturday,1,January,1,2023,1,0,
D022,,22,Sunday,1,January,1,2023,1,0,
D023,,23,Monday,1,January,1,2023,0,0,
D024,,24,Tuesday,1,January,1,2023,0,0,
D025,,25,Wednesday,1,January,1,2023,0,0,
D026,,26,Thursday,1,January,1,2023,0,0,
D027,,27,Friday,1,January,1,2023,1,0,
D028,,28,Saturday,1,January,1,2023,1,0,
D029,,29,Sunday,1,January,1,2023,1,0,
D030,,30,Monday,1,January,1,2023,0,0,
D031,,31,Tuesday,1,January,1,2023,0,0,
D032,2/1/2023,1,Wednesday,2,February,1,2023,0,0,
D033,2/2/2023,2,Thursday,2,February,1,2023,0,0,
D034,2/3/2023,3,Friday,2,February,1,2023,1,0,
D035,2/4/2023,4,Saturday,2,February,1,2023,1,0,
D036,2/5/2023,5,Sunday,2,February,1,2023,1,1,Kashmir Day
D037,2/6/2023,6,Monday,2,February,1,2023,0,0,
D038,2/7/2023,7,Tuesday,2,February,1,2023,0,0,
D039,2/8/2023,8,Wednesday,2,February,1,2023,0,0,
D040,2/9/2023,9,Thursday,2,February,1,2023,0,0,
D041,,10,Friday,2,February,1,2023,1,0,
D042,,11,Saturday,2,February,1,2023,1,0,
D043,,12,Sunday,2,February,1,2023,1,0,
D044,,13,Monday,2,February,1,2023,0,0,
D045,,14,Tuesday,2,February,1,2023,0,0,
D046,,15,Wednesday,2,February,1,2023,0,0,
D047,,16,Thursday,2,February,1,2023,0,0,
D048,,17,Friday,2,February,1,2023,1,0,
D049,,18,Saturday,2,February,1,2023,1,0,
D050,,19,Sunday,2,February,1,2023,1,0,
D051,,20,Monday,2,February,1,2023,0,0,
D052,,21,Tuesday,2,February,1,2023,0,0,
D053,,22,Wednesday,2,February,1,2023,0,0,
D054,,23,Thursday,2,February,1,2023,0,0,
D055,,24,Friday,2,February,1,2023,1,0,
D056,,25,Saturday,2,February,1,2023,1,0,
D057,,26,Sunday,2,February,1,2023,1,0,
D058,,27,Monday,2,February,1,2023,0,0,
D059,,28,Tuesday,2,February,1,2023,0,0,
D060,3/1/2023,1,Wednesday,3,March,1,2023,0,0,
D061,3/2/2023,2,Thursday,3,March,1,2023,0,0,
D062,3/3/2023,3,Friday,3,March,1,2023,1,0,
D063,3/4/2023,4,Saturday,3,March,1,2023,1,0,
D064,3/5/2023,5,Sunday,3,March,1,2023,1,0,
D065,3/6/2023,6,Monday,3,March,1,2023,0,0,
D066,3/7/2023,7,Tuesday,3,March,1,2023,0,0,
D067,3/8/2023,8,Wednesday,3,March,1,2023,0,0,
D068,3/9/2023,9,Thursday,3,March,1,2023,0,0,
D069,,10,Friday,3,March,1,2023,1,0,
D070,,11,Saturday,3,March,1,2023,1,0,
D071,,12,Sunday,3,March,1,2023,1,0,
D072,,13,Monday,3,March,1,2023,0,0,
D073,,14,Tuesday,3,March,1,2023,0,0,
D074,,15,Wednesday,3,March,1,2023,0,0,
D075,,16,Thursday,3,March,1,2023,0,0,
D076,,17,Friday,3,March,1,2023,1,0,
D077,,18,Saturday,3,March,1,2023,1,0,
D078,,19,Sunday,3,March,1,2023,1,0,
D079,,20,Monday,3,March,1,2023,0,0,
D080,,21,Tuesday,3,March,1,2023,0,0,
D081,,22,Wednesday,3,March,1,2023,0,0,
D082,,23,Thursday,3,March,1,2023,0,1,Pakistan Day
D083,,24,Friday,3,March,1,2023,1,0,
D084,,25,Saturday,3,March,1,2023,1,0,
D085,,26,Sunday,3,March,1,2023,1,0,
D086,,27,Monday,3,March,1,2023,0,0,
D087,,28,Tuesday,3,March,1,2023,0,0,
D088,,29,Wednesday,3,March,1,2023,0,0,
D089,,30,Thursday,3,March,1,2023,0,0,
D090,,31,Friday,3,March,1,2023,1,0,
D091,4/1/2023,1,Saturday,4,April,2,2023,1,0,
D092,4/2/2023,2,Sunday,4,April,2,2023,1,0,
D093,4/3/2023,3,Monday,4,April,2,2023,0,0,
D094,4/4/2023,4,Tuesday,4,April,2,2023,0,0,
D095,4/5/2023,5,Wednesday,4,April,2,2023,0,0,
D096,4/6/2023,6,Thursday,4,April,2,2023,0,0,
D097,4/7/2023,7,Friday,4,April,2,2023,1,0,
D098,4/8/2023,8,Saturday,4,April,2,2023,1,0,
D099,4/9/2023,9,Sunday,4,April,2,2023,1,0,
D100,,10,Monday,4,April,2,2023,0,0,
D101,,11,Tuesday,4,April,2,2023,0,0,
D102,,12,Wednesday,4,April,2,2023,0,0,
D103,,13,Thursday,4,April,2,2023,0,0,
D104,,14,Friday,4,April,2,2023,1,0,
D105,,15,Saturday,4,April,2,2023,1,0,
D106,,16,Sunday,4,April,2,2023,1,0,
D107,,17,Monday,4,April,2,2023,0,0,
D108,,18,Tuesday,4,April,2,2023,0,0,
D109,,19,Wednesday,4,April,2,2023,0,0,
D110,,20,Thursday,4,April,2,2023,0,0,
D111,,21,Friday,4,April,2,2023,1,1,Eid ul-Fitr
D112,,22,Saturday,4,April,2,2023,1,0,
D113,,23,Sunday,4,April,2,2023,1,0,
D114,,24,Monday,4,April,2,2023,0,0,
D115,,25,Tuesday,4,April,2,2023,0,0,
D116,,26,Wednesday,4,April,2,2023,0,0,
D117,,27,Thursday,4,April,2,2023,0,0,
D118,,28,Friday,4,April,2,2023,1,0,
D119,,29,Saturday,4,April,2,2023,1,0,
D120,,30,Sunday,4,April,2,2023,1,0,
D121,,1,Monday,5,May,2,2023,0,0,
D122,,2,Tuesday,5,May,2,2023,0,0,
D123,,3,Wednesday,5,May,2,2023,0,0,
D124,,4,Thursday,5,May,2,2023,0,0,
D125,,5,Friday,5,May,2,2023,1,0,
D126,,6,Saturday,5,May,2,2023,1,0,
D127,,7,Sunday,5,May,2,2023,1,0,
D128,,8,Monday,5,May,2,2023,0,0,
D129,,9,Tuesday,5,May,2,2023,0,0,
D130,,10,Wednesday,5,May,2,2023,0,0,
D131,,11,Thursday,5,May,2,2023,0,0,
D132,,12,Friday,5,May,2,2023,1,0,
D133,,13,Saturday,5,May,2,2023,1,0,
D134,,14,Sunday,5,May,2,2023,1,0,
D135,,15,Monday,5,May,2,2023,0,0,
D136,,16,Tuesday,5,May,2,2023,0,0,
D137,,17,Wednesday,5,May,2,2023,0,0,
D138,,18,Thursday,5,May,2,2023,0,0,
D139,,19,Friday,5,May,2,2023,1,0,
D140,,20,Saturday,5,May,2,2023,1,0,
D141,,21,Sunday,5,May,2,2023,1,0,
D142,,22,Monday,5,May,2,2023,0,0,
D143,,23,Tuesday,5,May,2,2023,0,0,
D144,,24,Wednesday,5,May,2,2023,0,0,
D145,,25,Thursday,5,May,2,2023,0,0,
D146,,26,Friday,5,May,2,2023,1,0,
D147,,27,Saturday,5,May,2,2023,1,0,
D148,,28,Sunday,5,May,2,2023,1,0,
D149,,29,Monday,5,May,2,2023,0,0,
D150,,30,Tuesday,5,May,2,2023,0,0,
D151,,31,Wednesday,5,May,2,2023,0,0,
D152,6/1/2023,1,Thursday,6,June,2,2023,0,0,
D153,6/2/2023,2,Friday,6,June,2,2023,1,0,
D154,6/3/2023,3,Saturday,6,June,2,2023,1,0,
D155,6/4/2023,4,Sunday,6,June,2,2023,1,0,
