antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'National Ketchup (1kg)', 'Thal Sugar (200ml)'})",frozenset({'Noodles'}),0.0348,0.2052,0.01,0.2873563218390805,1.400371938786942,1.0,0.002859040000000001,1.1152838709677417,0.29621218400331545,0.04347826086956522,0.10336728968178222,0.16804463265443303
"frozenset({'Jam', 'Frozen Paratha'})",frozenset({'Bread'}),0.0336,0.2058,0.009,0.26785714285714285,1.3015410245730945,1.0,0.0020851199999999993,1.084760975609756,0.23973509933774828,0.0390625,0.078137928553441,0.1557944606413994
"frozenset({'Noodles', 'Eggs'})",frozenset({'Pepsi 1L'}),0.036,0.2052,0.0096,0.26666666666666666,1.299545159194282,1.0,0.0022128,1.0838181818181816,0.2391078838174274,0.04145077720207253,0.07733601744673713,0.1567251461988304
"frozenset({'National Ketchup (1kg)', 'Bread'})",frozenset({'Biscuits'}),0.0368,0.1972,0.0098,0.266304347826087,1.3504277273128145,1.0,0.00254304,1.0941866666666666,0.2694080954640992,0.043710972346119537,0.0860791577305518,0.15800004409559926
"frozenset({'National Ketchup (1kg)', 'Tapal Tea (250g)'})",frozenset({'Noodles'}),0.04,0.2052,0.0104,0.26,1.267056530214425,1.0,0.0021919999999999995,1.074054054054054,0.219551282051282,0.044293015332197615,0.06894816305988931,0.1553411306042885
"frozenset({'Noodles', 'Tapal Tea (250g)'})",frozenset({'National Ketchup (1kg)'}),0.0402,0.2048,0.0104,0.25870646766169153,1.2632151741293531,1.0,0.0021670399999999986,1.0727194630872483,0.21709651049096754,0.0443307757885763,0.06778982351822374,0.15474385883084577
"frozenset({'Lux Soap', 'Tapal Tea (250g)'})",frozenset({'Nestle Water'}),0.0358,0.2062,0.0092,0.2569832402234637,1.2462814753805223,1.0,0.00181804,1.0683473684210527,0.2049502628897126,0.03951890034364261,0.06397485540874741,0.1508000585210432
"frozenset({'Biscuits', 'Bread'})",frozenset({'National Ketchup (1kg)'}),0.0382,0.2048,0.0098,0.25654450261780104,1.2526587041884816,1.0,0.00197664,1.0696,0.20970883674742513,0.04202401372212693,0.0650710545998504,0.15219803255890052
"frozenset({'Noodles', 'Thal Sugar (200ml)'})",frozenset({'National Ketchup (1kg)'}),0.0394,0.2048,0.01,0.2538071065989848,1.2392925126903556,1.0,0.0019308800000000011,1.0656761904761907,0.2010077035186343,0.04269854824935952,0.06162865517980986,0.1513176157994924
"frozenset({'Biscuits', 'National Ketchup (1kg)'})",frozenset({'Bread'}),0.0388,0.2058,0.0098,0.25257731958762886,1.2272950417280313,1.0,0.0018149599999999991,1.0625848275862069,0.19267582188930493,0.041737649063032366,0.05889866480436772,0.15009818360333824
"frozenset({'Bread', 'Thal Sugar (200ml)'})",frozenset({'Dalda Cooking Oil (500ml)'}),0.0358,0.2026,0.009,0.25139664804469275,1.2408521621159563,1.0,0.00174692,1.0651835820895523,0.20130908755675403,0.039232781168265035,0.06119469280749028,0.14790957772422197
"frozenset({'Noodles', 'Jam'})",frozenset({'Shan Biryani Masala'}),0.0352,0.2088,0.0088,0.25,1.1973180076628351,1.0,0.0014502399999999993,1.0549333333333333,0.1708126036484245,0.03741496598639456,0.05207280080889786,0.1460727969348659
"frozenset({'Noodles', 'Pepsi 1L'})",frozenset({'Eggs'}),0.0388,0.1982,0.0096,0.24742268041237112,1.2483485389120643,1.0,0.0019098399999999995,1.0654054794520549,0.20697218754334853,0.04221635883905013,0.061390222514805595,0.1479293018610796
"frozenset({'Shan Biryani Masala', 'Eggs'})",frozenset({'Pepsi 1L'}),0.0384,0.2052,0.0094,0.24479166666666669,1.1929418453541263,1.0,0.001520320000000002,1.052424827586207,0.1681948525507136,0.04013663535439795,0.04981337023989267,0.14530031676413258
"frozenset({'Biscuits', 'Jam'})",frozenset({'Bread'}),0.037,0.2058,0.009,0.24324324324324323,1.1819399574501614,1.0,0.0013853999999999993,1.0494785714285715,0.1598476981654551,0.038494439692044476,0.04714586155029365,0.1434875108344496
"frozenset({'Biscuits', 'Jam'})",frozenset({'Shan Biryani Masala'}),0.037,0.2088,0.009,0.24324324324324323,1.1649580615097854,1.0,0.0012743999999999993,1.0455142857142856,0.14704049844236752,0.03800675675675675,0.043532916131500524,0.14317334575955265
"frozenset({'Guard Rice (1kg)', 'Thal Sugar (200ml)'})",frozenset({'Lays Chips'}),0.0346,0.206,0.0084,0.24277456647398843,1.1785173129805264,1.0,0.0012724,1.0485648854961833,0.156905107184784,0.03617571059431524,0.046315574904267555,0.14177563275155733
"frozenset({'Noodles', 'National Ketchup (1kg)'})",frozenset({'Tapal Tea (250g)'}),0.043,0.1996,0.0104,0.24186046511627907,1.2117257771356666,1.0,0.0018171999999999997,1.0557423312883434,0.18258178603006187,0.04478897502153316,0.05279918180444661,0.14698233676655637
"frozenset({'Frozen Paratha', 'Nestle Water'})",frozenset({'Bread'}),0.0398,0.2058,0.0096,0.24120603015075373,1.1720409628316508,1.0,0.0014091599999999978,1.0466609271523177,0.1528717975421785,0.04067796610169491,0.044580748112256006,0.14392663023572672
"frozenset({'Frozen Paratha', 'Bread'})",frozenset({'Nestle Water'}),0.0398,0.2062,0.0096,0.24120603015075373,1.1697673625157796,1.0,0.0013932399999999987,1.046133774834437,0.1511447267930291,0.04060913705583756,0.04409930732017351,0.14388138558944089
"frozenset({'Pepsi 1L', 'Thal Sugar (200ml)'})",frozenset({'Noodles'}),0.0366,0.2052,0.0088,0.24043715846994537,1.1717210451751725,1.0,0.0012896800000000005,1.0463913669064748,0.15212221865740658,0.037768240343347644,0.04433462313782761,0.14166107436167835
"frozenset({'Chicken', 'Guard Rice (1kg)'})",frozenset({'Pepsi 1L'}),0.0366,0.2052,0.0088,0.24043715846994537,1.1717210451751725,1.0,0.0012896800000000005,1.0463913669064748,0.15212221865740658,0.037768240343347644,0.04433462313782761,0.14166107436167835
"frozenset({'Pepsi 1L', 'Guard Rice (1kg)'})",frozenset({'Chicken'}),0.0366,0.198,0.0088,0.24043715846994537,1.2143290831815423,1.0,0.0015532000000000002,1.0558705035971225,0.1832053145111065,0.03897254207263065,0.052914162680729876,0.1424408014571949
"frozenset({'Jam', 'Thal Sugar (200ml)'})",frozenset({'Shan Biryani Masala'}),0.0366,0.2088,0.0088,0.24043715846994537,1.1515189581893934,1.0,0.0011579199999999998,1.041651798561151,0.1365806707305565,0.037193575655114115,0.03998629735837381,0.14129137616983858
"frozenset({'Dalda Cooking Oil (500ml)', 'Olpers Milk (Pack of 6)'})",frozenset({'Nestle Water'}),0.035,0.2062,0.0084,0.23999999999999996,1.1639185257032005,1.0,0.0011829999999999992,1.0444736842105264,0.14594127806563031,0.03608247422680412,0.0425799949609473,0.140368574199806
"frozenset({'Dalda Cooking Oil (500ml)', 'Thal Sugar (200ml)'})",frozenset({'Bread'}),0.0378,0.2058,0.009,0.23809523809523808,1.1569253551760839,1.0,0.0012207599999999987,1.0423875,0.1409686135938473,0.038363171355498715,0.04066386060845892,0.14091350826044702
"frozenset({'Surf Excel', 'Tapal Tea (250g)'})",frozenset({'National Ketchup (1kg)'}),0.0396,0.2048,0.0094,0.23737373737373738,1.159051452020202,1.0,0.00128992,1.042712582781457,0.1428837275248788,0.04,0.04096294941365363,0.14163608743686867
