customer_id,total_spent,purchase_frequency,avg_basket_size,age,gender,loyalty_tier,cluster,customer_segment
C0001,5922.68,21,2.24,39,Male,Bronze,0,Low Value
C0002,5771.99,26,2.12,33,Male,Bronze,1,Mid Value
C0003,6483.42,25,1.76,41,Male,Bronze,2,High Value
C0004,5323.42,20,2.25,50,Male,Silver,0,Low Value
C0005,6749.42,30,1.87,32,Female,Bronze,1,Mid Value
C0006,5677.57,17,2.47,32,Male,Bronze,0,Low Value
C0007,12198.22,15,2.47,50,Male,Bronze,0,Low Value
C0008,7329.1,22,2.0,42,Female,Bronze,1,Mid Value
C0009,6428.6,25,1.96,30,Female,Bronze,1,Mid Value
C0010,6315.06,14,2.07,40,Female,Bronze,2,High Value
C0011,6567.44,20,2.25,30,Male,Bronze,0,Low Value
C0012,13905.73,30,2.33,30,Male,Bronze,1,Mid Value
C0013,9761.03,19,2.95,37,Female,Bronze,0,Low Value
C0014,5151.51,16,2.38,18,Female,Silver,0,Low Value
C0015,5645.64,26,2.15,18,Male,Gold,1,Mid Value
C0016,7995.88,15,2.2,29,Male,Silver,0,Low Value
C0017,4651.85,17,2.06,24,Female,Bronze,2,High Value
C0018,11037.27,24,2.0,38,Female,Silver,1,Mid Value
C0019,4770.82,22,2.0,25,Female,Bronze,2,High Value
C0020,5603.72,23,1.91,20,Female,Bronze,2,High Value
C0021,4114.68,15,2.0,49,Male,Bronze,2,High Value
C0022,11273.42,27,2.19,32,Male,Bronze,1,Mid Value
C0023,3439.09,18,1.72,35,Female,Bronze,2,High Value
C0024,6678.19,26,1.65,20,Female,Silver,2,High Value
C0025,7058.94,19,2.21,29,Male,Bronze,0,Low Value
C0026,5234.64,18,2.33,36,Female,Bronze,0,Low Value
C0027,7520.26,24,2.08,23,Male,Bronze,1,Mid Value
C0028,4235.26,17,2.0,38,Male,Bronze,2,High Value
C0029,4154.36,17,1.94,28,Female,Gold,2,High Value
C0030,7336.28,20,2.4,32,Male,Bronze,0,Low Value
C0031,4479.55,17,2.06,28,Female,Bronze,2,High Value
C0032,6876.37,17,2.41,53,Male,Bronze,0,Low Value
C0033,6716.71,27,1.93,34,Male,Bronze,1,Mid Value
C0034,6325.59,20,1.95,24,Female,Silver,2,High Value
C0035,7226.55,17,2.41,43,Male,Silver,0,Low Value
C0036,3169.3,13,1.54,22,Female,Bronze,2,High Value
C0037,5255.25,21,2.43,37,Male,Bronze,0,Low Value
C0038,9344.35,15,2.6,18,Male,Silver,0,Low Value
C0039,3438.08,14,2.86,21,Male,Bronze,0,Low Value
C0040,5520.76,18,2.28,36,Male,Bronze,0,Low Value
C0041,4086.71,19,1.74,42,Female,Bronze,2,High Value
C0042,5493.1,17,2.29,36,Male,Bronze,0,Low Value
C0043,3613.31,19,1.95,33,Female,Bronze,2,High Value
C0044,5077.76,21,1.9,31,Female,Bronze,2,High Value
C0045,4001.41,17,2.12,20,Female,Bronze,2,High Value
C0046,5527.8,16,1.75,27,Male,Silver,2,High Value
C0047,7345.44,25,1.92,30,Male,Bronze,1,Mid Value
C0048,9164.83,17,2.53,45,Male,Bronze,0,Low Value
C0049,9749.82,22,2.18,38,Male,Bronze,1,Mid Value
C0050,2472.57,17,1.59,18,Female,Bronze,2,High Value
C0051,4748.59,15,2.07,38,Female,Bronze,2,High Value
C0052,11546.42,32,2.5,31,Male,Silver,1,Mid Value
C0053,4873.91,16,2.19,28,Male,Gold,0,Low Value
C0054,13387.35,25,1.88,41,Male,Silver,1,Mid Value
C0055,12561.19,35,1.97,45,Male,Silver,1,Mid Value
C0056,4749.54,17,2.24,44,Female,Bronze,0,Low Value
C0057,7717.04,24,2.17,26,Male,Gold,1,Mid Value
